Unnamed: 0_left,Team_left,Match Up_left,Game Date_left,W/L_left,MIN_left,PTS_left,FGM_left,FGA_left,FG%_left,3PM_left,3PA_left,3P%_left,FTM_left,FTA_left,FT%_left,OREB_left,DREB_left,REB_left,AST_left,STL_left,BLK_left,TOV_left,PF_left,+/-_left,winrate 35_left,Unnamed: 0_right,Team_right,Match Up_right,Game Date_right,W/L_right,MIN_right,PTS_right,FGM_right,FGA_right,FG%_right,3PM_right,3PA_right,3P%_right,FTM_right,FTA_right,FT%_right,OREB_right,DREB_right,REB_right,AST_right,STL_right,BLK_right,TOV_right,PF_right,+/-_right,winrate 35_right
103,CLE,CLE vs. CHA,11/13/2018,W,240,109.6896551724138,40.44827586206897,86.79310344827586,46.3448275862069,10.482758620689655,27.551724137931036,37.13793103448276,18.310344827586206,23.24137931034483,78.27586206896552,10.10344827586207,32.58620689655172,42.689655172413794,21.344827586206897,7.137931034482759,3.1379310344827585,13.793103448275861,19.03448275862069,-1.7586206896551724,0.4482758620689655,,,,,,,,,,,,,,,,,,,,,,,,,,
105,ATL,ATL @ GSW,11/13/2018,L,240,106.10344827586206,39.06896551724138,87.79310344827586,44.310344827586206,12.10344827586207,34.93103448275862,34.13793103448276,15.862068965517242,21.517241379310345,74.58620689655173,8.620689655172415,36.44827586206897,45.06896551724138,24.620689655172413,7.137931034482759,4.586206896551724,16.689655172413794,20.96551724137931,-8.206896551724139,0.2413793103448276,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PHX,PHX @ OKC,11/12/2018,L,240,101.55555555555556,37.629629629629626,84.85185185185185,44.111111111111114,10.0,30.14814814814815,33.148148148148145,16.296296296296298,21.74074074074074,74.74074074074075,8.518518518518519,34.666666666666664,43.18518518518518,22.444444444444443,7.296296296296297,3.7777777777777777,17.333333333333332,21.62962962962963,-12.074074074074074,0.14814814814814814,,,,,,,,,,,,,,,,,,,,,,,,,,
109,UTA,UTA @ MEM,11/12/2018,W,240,110.41379310344827,39.86206896551724,84.03448275862068,47.10344827586207,11.172413793103448,31.482758620689655,35.13793103448276,19.517241379310345,26.448275862068964,73.82758620689656,10.068965517241379,34.89655172413793,44.96551724137931,25.448275862068964,8.206896551724139,5.931034482758621,15.310344827586206,21.0,8.344827586206897,0.6551724137931034,,,,,,,,,,,,,,,,,,,,,,,,,,
111,NOP,NOP @ TOR,11/12/2018,W,240,112.46666666666667,43.333333333333336,90.13333333333334,47.666666666666664,9.133333333333333,25.866666666666667,34.46666666666667,16.666666666666668,21.6,77.46666666666667,10.066666666666666,36.46666666666667,46.53333333333333,27.166666666666668,8.033333333333333,6.5,14.533333333333333,20.3,1.8,0.5333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,
113,ORL,ORL @ WAS,11/12/2018,L,240,99.1,37.93333333333333,88.96666666666667,42.333333333333336,9.866666666666667,30.6,31.8,13.366666666666667,17.733333333333334,75.83333333333333,9.733333333333333,33.93333333333333,43.666666666666664,23.9,8.166666666666666,5.533333333333333,13.9,18.433333333333334,-5.9,0.36666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,
115,MIN,MIN vs. BKN,11/12/2018,W,240,109.46428571428571,40.32142857142857,89.92857142857143,44.714285714285715,9.392857142857142,26.321428571428573,35.892857142857146,19.428571428571427,23.857142857142858,80.64285714285714,11.0,31.678571428571427,42.67857142857143,22.678571428571427,8.535714285714286,4.892857142857143,12.642857142857142,19.821428571428573,-2.9285714285714284,0.4642857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,
117,SAC,SAC vs. SAS,11/12/2018,W,240,105.1,40.8,89.1,45.333333333333336,9.533333333333333,26.233333333333334,36.0,13.966666666666667,19.8,70.4,9.666666666666666,34.266666666666666,43.93333333333333,23.466666666666665,7.233333333333333,4.566666666666666,13.8,22.0,-2.6333333333333333,0.4666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,
119,GSW,GSW @ LAC,11/12/2018,L,265,111.86206896551724,42.62068965517241,86.62068965517241,48.6551724137931,10.758620689655173,27.551724137931036,38.10344827586207,15.862068965517242,19.310344827586206,81.82758620689656,8.96551724137931,34.724137931034484,43.689655172413794,27.379310344827587,7.689655172413793,6.068965517241379,14.586206896551724,20.79310344827586,3.413793103448276,0.6206896551724138,,,,,,,,,,,,,,,,,,,,,,,,,,
121,MIA,MIA vs. PHI,11/12/2018,L,240,109.75,40.714285714285715,90.46428571428571,44.714285714285715,11.75,31.857142857142858,36.214285714285715,16.571428571428573,22.357142857142858,74.14285714285714,10.714285714285714,35.642857142857146,46.357142857142854,24.0,7.392857142857143,6.214285714285714,14.642857142857142,22.142857142857142,1.6785714285714286,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
